timestamp,original_url,imprint_url,processing_date,processing_time,company_name,managing_directors,street,city,postal_code,country,phone,email,website,registration_number,vat_id
20250722_103643,http://www.gairing.de,,2025-07-22,10:36:51,No imprint data found,,,,,,,,,,
20250722_103643,http://www.rnv-online.de,http://www.rnv-online.de/impressum/,2025-07-22,10:36:57,Rhein-Neckar-Verkehr GmbH,Martin in der Beek; Christian Volz,Möhlstraße 27,Mannheim,68165,Germany,0621/465-0; 0621/465-4444,info@rnv-online.de,https://www.rnv-online.de,HRB 8674,DE 213122348
20250722_103643,https://dbregiobus-bawue.de,,2025-07-22,10:36:57,No imprint data found,,,,,,,,,,
20250722_103643,http://www.janzen-reisen.de,http://www.janzen-reisen.de/kontakt/impressum.php,2025-07-22,10:36:59,Janzen-Reisen GmbH,Sven Janzen,Siemensstraße 10,Freiburg im Breisgau,79108,Germany,+49 761 500293,info@janzen-reisen.de,https://www.janzen-reisen.de,HRB 4456,DE 156591034
20250722_103643,http://baumeister-knese.de,http://baumeister-knese.de/kontakt/anfahrt-copy/,2025-07-22,10:36:59,Omnibusreisen Baumeister-Knese GmbH & Co. KG,Sonja Bayer,Tannenweg 30,Ulm-Unterweiler,89079,Deutschland,07346 9620-0; 07346 9620-20,knese@baumeister-knese.de,http://www.baumeister-knese.de,HRB2053,DE 147042231
20250722_103643,https://www.binninger.com,http://www.binninger.com/Impressum.54026.html,2025-07-22,10:37:05,Binninger Omnibusbetrieb GmbH & Co. KG,Karl-Theo Binninger; Marc Binninger,Breisacher Str. 1,Vörstetten,79279,Deutschland,07666-93030,info@binninger.com,https://www.binninger.com,HRB 1321,DE 813 555 528
20250722_103643,http://www.knisel.com,http://www.knisel.com/index.php/impressum,2025-07-22,10:37:06,Knisel Bus + Reisen GmbH & Co. KG,Dipl.- Betriebswirt (FH) Matthias Knisel,Arnoldstraße 3a,Stuttgart,70378,Deutschland,0049-(0)711/953917-0,bus@knisel.com,http://www.knisel.com,HRA 7569,
20250722_103657,https://www.pforzheimfaehrtbus.de,https://www.pforzheimfaehrtbus.de/impressum,2025-07-22,10:37:09,RVS Regionalbusverkehr Südwest GmbH,Andreas Pfingst; Nils Stegemann; Frank Wilsing,Gutschstraße 4,Karlsruhe,76137,Germany,07231 443 1474,busbw@deutschebahn.com,https://www.pforzheimfaehrtbus.de,HRB 105225,DE143604917
20250722_103651,https://reisemacher.de,https://reisemacher.de/impressum-datenschutz/,2025-07-22,10:37:09,Omnibusreisen Baumeister-Knese GmbH & Co. KG,Sonja Bayer,Tannenweg 30,Ulm-Unterweiler,89079,Deutschland,07346 9620-0; 07346 9620-20,reisemacher@baumeister-knese.de; datenschutz@baumeister-knese.de,http://www.reisemacher.de,HRB2053,DE 147042231
20250722_103643,http://www.dbregiobus-bawue.de,http://www.dbregiobus-bawue.de/home/impressum,2025-07-22,10:37:14,BRN Busverkehr Rhein-Neckar GmbH,Andreas Pfingst; Nils Stegemann; Karlheinz Nuissl,Gutschstraße 4,Karlsruhe,76137,Germany,,busbw@deutschebahn.com,https://www.dbregiobus-bawue.de,HRB 3089,DE 149137974
20250722_103657,https://www.vpe.de,https://www.vpe.de/impressum.php,2025-07-22,10:37:14,Verkehrsverbund Pforzheim-Enzkreis GmbH,Daniel Peikert,Luitgardstraße 14–18,Pforzheim,75177,Germany,07231 414 66-0; +49 (7231) 443 1474,info@vpe.de,https://www.vpe.de,HRB 503 780,
20250722_103705,http://www.reutlinger-stadtverkehr.de,http://www.reutlinger-stadtverkehr.de/kontakt,2025-07-22,10:37:18,Reutlinger Stadtverkehr,,Eberhardstraße 1,Reutlingen,72764,Germany,07121 9430-65,,https://reutlinger-stadtverkehr.de,,
20250722_103659,http://vpe.de,http://vpe.de/impressum.php,2025-07-22,10:37:20,Verkehrsverbund Pforzheim-Enzkreis GmbH (VPE),Daniel Peikert,Luitgardstraße 14–18,Pforzheim,75177,Germany,07231 414 66-0; 07231 414 66-66; +49 (7231) 443 1474,info@vpe.de,https://www.vpe.de,HRB 503 780,
20250722_103706,https://www.tuebus.de,https://www.tuebus.de/impressum.html,2025-07-22,10:37:20,TüBus GmbH,Knud Hädicke; Hans Zeutschel,Eisenhutstraße 6,Tübingen,72072,Germany,+49 7071 157-157,tuebus@swtue.de,https://www.tuebus.de,771624,DE327503689
20250722_103709,https://meine-rab.de,https://meine-rab.de/impressum,2025-07-22,10:37:21,Regionalverkehr Alb-Bodensee GmbH,Dieter Unseld; Andreas Pfingst; Nils Stegemann,Karlstr. 31-33,Ulm,89073,Germany,0731 1550 0; 0731 1550 160,servicecenter@dbregiobus-rab.de,https://meine-rab.de/,HRB 2127,DE147034442
20250722_103659,http://www.eberhardt-travel.de,http://www.eberhardt-travel.de/impressum,2025-07-22,10:37:22,Eberhardt TRAVEL GmbH,Dr. Uwe Lorenz,Zschoner Ring 30,Kesselsdorf,01723,Germany,+49 (0) 3 52 04 / 92 112; +49 (0) 800 - 22 21 57 5,info@eberhardt-travel.de,https://www.eberhardt-travel.de,,
20250722_103709,http://lvl-jaeger.de,http://lvl-jaeger.de/impressum,2025-07-22,10:37:29,LVL Jäger GmbH,Carry Greiner,Hermann-Hagenmeyer-Straße 4,Ludwigsburg,71636,Deutschland,+49 (0) 7141 94 90 - 0,info@lvl-jaeger.de; datenschutz@lvl-jaeger.de,https://www.lvl-jaeger.de,HRB 1283,DE 146 188 968
20250722_103714,http://www.lvl-jaeger.de,http://www.lvl-jaeger.de/impressum,2025-07-22,10:37:33,LVL Jäger GmbH,Carry Greiner,Hermann-Hagenmeyer-Straße 4,Ludwigsburg,71636,Deutschland,+49 (0) 7141 94 90 - 0,info@lvl-jaeger.de; datenschutz@lvl-jaeger.de,https://www.lvl-jaeger.de,HRB 1283,DE 146 188 968
20250722_103714,https://www.wbg-bus.de,https://www.wbg-bus.de/de/impressum,2025-07-22,10:37:33,Württembergische Bus-Gesellschaft mbH,Mark Hogenmüller,Seewiesenstraße 19-23,Waiblingen,71334,Germany,07151 303800; 07151 3038029,info@wbg-bus.de,https://wbg-bus.de,HRB 755996,DE 306247199
20250722_103720,https://www.omniplus.com,https://www.omniplus.com/de_en/legal-notices/,2025-07-22,10:37:36,Daimler Buses GmbH,Till Oberwörder (CEO); Michael Klein; Peter Rödder,Fasanenweg 10,Leinfelden-Echterdingen,70771,Germany,+49 731-181-8996; 00800 40204020,info.buses@daimlertruck.com,https://www.omniplus.com,HRB 17316,DE 147 032 272
20250722_103729,https://www.ostalbmobil.de,https://www.ostalbmobil.de/impressum/,2025-07-22,10:37:41,OstalbMobil GmbH,Arne Behrens,Bahnhofstraße 46,Aalen,73430,Germany,07361 80475-0; 07361 80475-99; 07361 80475-25,info@ostalbmobil.de; abo@ostalbmobil.de,https://www.ostalbmobil.de,HRB 732549,DE301163841
20250722_103718,http://www.fischle.de,https://www.fischle.de/impressum/,2025-07-22,10:37:43,Esslinger Omnibusverkehr E. Fischle GmbH & CO. KG,Bettina Fischle-Schlienz; Frank Fischle,Wolf-Hirth-Straße 4,Esslingen,73730,Germany,0711 931 39 0,info@fischle.de,https://www.fischle.de,,DE145339610
20250722_103733,https://www.vgvs.de,https://www.vgvs.de/impressum/,2025-07-22,10:37:44,Verkehrsgemeinschaft Villingen-Schwenningen GmbH,Herr Frank Wiest; Herr Jörg Schürmann; Frau Fabienne Maier,Niederwiesenstraße 27-1,Villingen-Schwenningen,78050,Germany,07721 22053; 07721 22054,info@vgvs.de,https://www.vgvs.de/,1711,DE 142985717
20250722_103722,http://www.ova.de,http://www.ova.de/kontakt/impressum.html,2025-07-22,10:37:44,OVA-Omnibus-Verkehr Aalen Dipl. Ing. Rau GmbH+Co KG,Friedel Rau; Ulrich Rau; Peter Rau,Gartenstraße 127-129,Aalen,73430,Germany,07361-5701-0; 07361-5701-29,info@ova.de; webmaster@ova.de,https://www.ova.de,HRA 500132,DE 144632231
