timestamp,original_url,imprint_url,processing_date,processing_time,company_name,managing_directors,street,city,postal_code,country,phone,email,website,registration_number,vat_id
20250722_101101,https://www.elenra.de,https://www.elenra.de/legal/imprint,2025-07-22,10:11:11,SCAILE Technologies UG,Federico de Ponte,Jungfrauenthal 8,Hamburg,20149,Deutschland,+49 40 23834416,info@elenra.de,,HRB 191310,
20250722_101411,https://dbregiobus-bawue.de,,2025-07-22,10:14:24,No imprint data found,,,,,,,,,,
20250722_101411,http://www.knisel.com,http://www.knisel.com/index.php/impressum,2025-07-22,10:14:29,Knisel Bus + Reisen GmbH & Co. KG,Dipl.- Betriebswirt (FH) Matthias Knisel,Arnoldstraße 3a,Stuttgart,70378,Deutschland,0049-(0)711/953917-0; 0711 / 953917 - 0,bus@knisel.com,http://www.knisel.com,HRA 7569,
20250722_101424,http://www.janzen-reisen.de,http://www.janzen-reisen.de/kontakt/impressum.php,2025-07-22,10:14:39,Janzen-Reisen GmbH,Sven Janzen,Siemensstraße 10,Freiburg im Breisgau,79108,Germany,0761/ 500293,info@janzen-reisen.de,https://www.janzen-reisen.de,HRB 4456,DE 156591034
20250722_101429,http://www.dbregiobus-bawue.de,http://www.dbregiobus-bawue.de/home/impressum,2025-07-22,10:14:49,BRN Busverkehr Rhein-Neckar GmbH,Andreas Pfingst; Nils Stegemann; Karlheinz Nuissl,Gutschstraße 4,Karlsruhe,76137,Germany,,busbw@deutschebahn.com,https://www.dbregiobus-bawue.de,HRB 3089,DE 149137974
20250722_101449,http://www.rnv-online.de,http://www.rnv-online.de/impressum/,2025-07-22,10:15:01,Rhein-Neckar-Verkehr GmbH,Martin in der Beek; Christian Volz,Möhlstraße 27,Mannheim,68165,Germany,0621/465-0; 0621/465-3262; 0621/465-4444,info@rnv-online.de,https://www.rnv-online.de,HRB 8674,DE 213122348
20250722_101439,https://www.binninger.com,https://www.binninger.com/Impressum.54026.html,2025-07-22,10:15:03,Binninger Omnibusbetrieb GmbH & Co. KG,Karl-Theo Binninger; Marc Binninger,Breisacher Str. 1,Vörstetten,79279,Deutschland,07666 - 9303-0,info@binninger.com,https://www.binninger.com,HRB 1321,DE 813 555 528
20250722_101501,http://www.gairing.de,,2025-07-22,10:15:11,No imprint data found,,,,,,,,,,
20250722_101503,http://baumeister-knese.de,http://baumeister-knese.de/kontakt/anfahrt-copy/,2025-07-22,10:15:20,Omnibusreisen Baumeister-Knese GmbH & Co. KG,Sonja Bayer,Tannenweg 30,Ulm-Unterweiler,89079,Deutschland,07346 9620-0; 07346 9620-20,knese@baumeister-knese.de; datenschutz@baumeister-knese.de,http://www.baumeister-knese.de,HRB2053,DE 147042231
20250722_101511,https://reisemacher.de,https://reisemacher.de/impressum-datenschutz/,2025-07-22,10:15:33,Omnibusreisen Baumeister-Knese GmbH & Co. KG,Sonja Bayer,Tannenweg 30,Ulm-Unterweiler,89079,Deutschland,07346 9620-0; 07346 9620-20,reisemacher@baumeister-knese.de; datenschutz@baumeister-knese.de,http://www.reisemacher.de,HRB2053,DE 147042231
20250722_101520,https://www.pforzheimfaehrtbus.de,https://www.pforzheimfaehrtbus.de/impressum,2025-07-22,10:15:34,RVS Regionalbusverkehr Südwest GmbH,Andreas Pfingst; Nils Stegemann; Frank Wilsing,Gutschstraße 4,Karlsruhe,76137,Germany,07231 443 1474,busbw@deutschebahn.com,https://www.pforzheimfaehrtbus.de,HRB 105225,DE143604917
20250722_101547,https://dbregiobus-bawue.de,,2025-07-22,10:16:01,No imprint data found,,,,,,,,,,
20250722_101547,http://www.janzen-reisen.de,http://www.janzen-reisen.de/kontakt/impressum.php,2025-07-22,10:16:03,Janzen-Reisen GmbH,Sven Janzen,Siemensstraße 10,Freiburg im Breisgau,79108,Germany,0761/ 500293,info@janzen-reisen.de,https://www.janzen-reisen.de,HRB 4456,DE 156591034
20250722_101547,http://www.knisel.com,http://www.knisel.com/index.php/impressum,2025-07-22,10:16:06,Knisel Bus + Reisen GmbH & Co. KG,Dipl.- Betriebswirt (FH) Matthias Knisel,Arnoldstraße 3a,Stuttgart,70378,Deutschland,0049-(0)711/953917-0; 0049-(0)711/953917-77,bus@knisel.com,http://www.knisel.com,HRA 7569,
20250722_101547,http://www.rnv-online.de,http://www.rnv-online.de/impressum/,2025-07-22,10:16:07,Rhein-Neckar-Verkehr GmbH,Martin in der Beek; Christian Volz,Möhlstraße 27,Mannheim,68165,Germany,0621/465-0; 0621/465-4444,info@rnv-online.de,https://www.rnv-online.de,HRB 8674,DE 213122348
20250722_101547,http://www.gairing.de,http://www.gairing.de/impressum,2025-07-22,10:16:09,Gairing Omnibusverkehr GmbH & Co. KG,Dr. Sandra Schnarrenberger,Turmstraße 47,Neu-Ulm,89231,Germany,+49 731/8 38 04; +49 731/8 72 11,info@gairing.de,,HRA 10131,DE 151-160-00-609
20250722_101547,https://www.binninger.com,https://www.binninger.com/Impressum.54026.html,2025-07-22,10:16:10,Binninger Omnibusbetrieb GmbH & Co. KG,Karl-Theo Binninger; Marc Binninger,Breisacher Str. 1,Vörstetten,79279,Deutschland,07666-9303-0,info@binninger.com,www.binninger.com,HRB 1321,DE 813 555 528
20250722_101547,http://www.dbregiobus-bawue.de,http://www.dbregiobus-bawue.de/home/impressum,2025-07-22,10:16:11,BRN Busverkehr Rhein-Neckar GmbH,Andreas Pfingst; Nils Stegemann; Karlheinz Nuissl,Gutschstraße 4,Karlsruhe,76137,Germany,,busbw@deutschebahn.com,https://www.dbregiobus-bawue.de,HRB 3089,DE 149137974
